"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
SÃO JOAQUIM DA BARRA,2,4.99,,0.00,,,,SAO JOAQUIM DA BARR,13,40090
SÃO JOSE DO RIO PARDO,1,2.10,,0.00,,,,SAO JOSE DO RIO PAR,20,47660
SÃO JOSE DO RIO PRETO,27,8.34,,0.00,,,,SAO JOSE DO RIO PRE,22,323627
SÃO JOSE DOS CAMPOS,63,12.95,,0.00,,,,SAO JOSE DOS CAMPOS,21,486467
SÃO LOURENCO DA SERRA,3,29.59,,0.00,,,,SÃO LOURENÇO SERRA,5,10139
SÃO MANOEL,1,2.88,,0.00,,,,SAO MANOEL,11,34688
SÃO PAULO,13635,138.58,13,0.10,,,,SAO PAULO,01,9839436
SÃO ROQUE,3,4.88,,0.00,,,,SAO ROQUE,23,61450
SÃO SEBASTIAO,33,75.27,,0.00,,,,SAO SEBASTIAO,21,43845
SÃO SIMAO,1,7.89,,0.00,,,,SAO SIMAO,18,12668
SÃO VICENTE,18,6.44,,0.00,,,,SAO VICENTE,19,279528
SARAPUI,1,14.28,,0.00,,,,SARAPUI,23,7005
SERRA NEGRA,4,17.94,,0.00,,,,SERRA NEGRA,12,22295
SERRANA,2,7.52,,0.00,,,,SERRANA,18,26581
SERTÃOZINHO,120,135.52,,0.00,,,,SERTAOZINHO,18,88545
SILVEIRAS,4,76.34,,0.00,,,,SILVEIRAS,24,5240
SOCORRO,1,3.24,,0.00,,,,SOCORRO,12,30847
SOROCABA,134,31.05,,0.00,,,,SOROCABA,23,431561
SUD MENUCCI,1,12.79,,0.00,,,,SUD MENUCCI,06,7817
SUMARÉ,115,68.43,,0.00,,,,SUMARE,12,168058
SUZANO,200,7181.33,,0.00,,,,SUZANO,03,2785
TABOÃO DA SERRA,599,328.21,1,0.17,,,,TABOAO DA SERRA,05,182506
TAQUARITINGA,2,3.97,,0.00,,,,TAQUARITINGA,07,50330
TATUÍ,16,18.89,,0.00,,,,TATUI,23,84716
TAUBATÉ,18,8.17,,0.00,,,,TAUBATE,24,220230
TEODORO SAMPAIO,7,35.89,,0.00,,,,TEODORO SAMPAIO,16,19503
TERRA ROXA,28,358.33,,0.00,,,,TERRA ROXA,09,7814
TIMBURI,1,36.85,,0.00,,,,TIMBURI,08,2714
TREMEMBÉ,5,15.58,,0.00,,,,TREMEMBE,24,32095
TUIUTI,1,21.66,,0.00,,,,TUIUTI,12,4617
TUPI PAULISTA,1,7.44,,0.00,,,,TUPI PAULISTA,16,13443
UBATUBA,13,23.62,,0.00,,,,UBATUBA,21,55033
VALINHOS,7,9.38,,0.00,,,,VALINHOS,12,74608
VALPARAÍSO,1,5.64,,0.00,,,,VALPARAISO,06,17731
VARGEM GRANDE PAULISTA,13,48.71,,0.00,,,,VARGEM GRANDE PAULI,05,26689
VÁRZEA PAULISTA,43,55.02,,0.00,,,,VARZEA PAULISTA,12,78156
VINHEDO,15,38.83,,0.00,,,,VINHEDO,12,38625
VIRADOURO,1,6.94,,0.00,,,,VIRADOURO,09,14419
VOTORANTIM,35,40.14,,0.00,,,,VOTORANTIM,23,87191
Total do Estado,23907,,23,0.10,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
